#Device,NGP824
#Device Name,log2.local
#Format,LOG
#Date,2023-01-12
#Version,02.025 02E3A3C161
#Serial No.,100918
#Logging Interval[s],300.000
#Mode,Unlimited
#Start Time,18:28:40
#Stop Time,XX:XX:XX
#Actual Count,0000000000
#Adjustment Ch1,factory
#Adjustment Ch2,factory
#Adjustment Ch3,factory
#Adjustment Ch4,factory
Timestamp,U1[V],I1[A],P1[W],U2[V],I2[A],P2[W],U3[V],I3[A],P3[W],U4[V],I4[A],P4[W]
18:28:40.944,0.999,0.2570,0.255,0.998,0.0310,0.030,1.300,0.0645,0.085,1.299,0.0555,0.070
18:33:40.944,0.999,0.2655,0.265,0.998,0.0300,0.030,1.300,0.0630,0.080,1.299,0.0540,0.070
18:38:40.944,0.001,0.0000,0.000,0.001,0.0000,0.000,0.002,0.0000,0.000,0.000,0.0385,0.000
18:43:40.944,0.999,0.6725,0.670,0.998,0.1660,0.165,1.300,0.0970,0.125,1.299,0.4410,0.575
18:48:40.944,0.999,0.4070,0.405,0.998,0.1445,0.145,1.300,0.3685,0.480,1.299,0.3720,0.485
18:53:40.944,0.999,0.2605,0.260,0.998,0.1335,0.135,1.300,0.3125,0.405,1.300,0.3130,0.405
18:58:40.944,0.999,0.1800,0.180,0.998,0.1245,0.125,1.300,0.2595,0.335,1.299,0.2575,0.335
19:03:40.944,0.998,0.1490,0.150,0.998,0.1165,0.115,1.300,0.2070,0.270,1.299,0.2135,0.275
19:08:40.944,0.999,0.1325,0.130,0.998,0.1110,0.110,1.300,0.1690,0.220,1.299,0.1825,0.235
19:13:40.944,0.999,0.1210,0.120,0.998,0.1050,0.105,1.300,0.1450,0.190,1.299,0.1630,0.210
19:18:40.944,0.998,0.1115,0.110,0.998,0.1000,0.100,1.300,0.1315,0.170,1.299,0.1500,0.195
19:23:40.944,0.999,0.1040,0.105,0.998,0.0960,0.095,1.300,0.1225,0.160,1.300,0.1415,0.185
19:28:40.944,0.998,0.0980,0.100,0.998,0.0920,0.090,1.300,0.1165,0.150,1.299,0.1355,0.175
19:33:40.944,0.999,0.0930,0.095,0.998,0.0880,0.090,1.300,0.1115,0.145,1.299,0.1315,0.170
19:38:40.944,0.999,0.0885,0.090,0.998,0.0850,0.085,1.300,0.1085,0.140,1.299,0.1295,0.170
19:43:40.944,0.999,0.0850,0.085,0.998,0.0830,0.085,1.300,0.1060,0.140,1.299,0.1275,0.165
19:48:40.944,0.999,0.0825,0.080,0.998,0.0800,0.080,1.300,0.1045,0.135,1.299,0.1255,0.165
19:53:40.944,0.999,0.0800,0.080,0.998,0.0790,0.080,1.300,0.1030,0.135,1.299,0.1245,0.160
19:58:40.944,0.999,0.0780,0.080,0.998,0.0775,0.075,1.300,0.1020,0.135,1.299,0.1235,0.160
20:03:40.944,0.999,0.0760,0.075,0.998,0.0760,0.075,1.300,0.1015,0.130,1.299,0.1225,0.160
20:08:40.944,0.999,0.0745,0.075,0.998,0.0750,0.075,1.300,0.1010,0.130,1.299,0.1220,0.160
20:13:40.944,0.998,0.0735,0.075,0.998,0.0730,0.075,1.300,0.1000,0.130,1.299,0.1215,0.160
20:18:40.944,0.999,0.0720,0.070,0.998,0.0720,0.070,1.300,0.1000,0.130,1.299,0.1210,0.155
20:23:40.944,0.998,0.0710,0.070,0.998,0.0720,0.070,1.300,0.0995,0.130,1.299,0.1210,0.155
20:28:40.944,0.998,0.0705,0.070,0.998,0.0715,0.070,1.300,0.0995,0.130,1.299,0.1210,0.155
20:33:40.944,0.999,0.0700,0.070,0.998,0.0710,0.070,1.300,0.0990,0.130,1.299,0.1210,0.155
20:38:40.944,0.998,0.0690,0.070,0.998,0.0705,0.070,1.300,0.0990,0.130,1.299,0.1205,0.155
20:43:40.944,0.998,0.0680,0.070,0.998,0.0695,0.070,1.300,0.0990,0.130,1.299,0.1205,0.155
20:48:40.944,0.998,0.0675,0.065,0.998,0.0695,0.070,1.300,0.0990,0.130,1.299,0.1200,0.155
20:53:40.944,0.998,0.0665,0.065,0.998,0.0685,0.070,1.300,0.0990,0.130,1.299,0.1200,0.155
20:58:40.944,0.998,0.0660,0.065,0.998,0.0685,0.070,1.300,0.0995,0.130,1.299,0.1200,0.155
21:03:40.944,0.998,0.0650,0.065,0.998,0.0675,0.065,1.300,0.1000,0.130,1.299,0.1190,0.155
21:08:40.944,0.998,0.0650,0.065,0.998,0.0675,0.065,1.300,0.0990,0.130,1.299,0.1190,0.155
21:13:40.944,0.998,0.0645,0.065,0.999,0.0670,0.065,1.300,0.1000,0.130,1.299,0.1190,0.155
21:18:40.944,0.998,0.0640,0.065,0.998,0.0665,0.065,1.300,0.0990,0.130,1.299,0.1190,0.155
21:23:40.944,0.998,0.0640,0.065,0.998,0.0655,0.065,1.300,0.0995,0.130,1.299,0.1180,0.155
21:28:40.944,0.998,0.0635,0.065,0.998,0.0655,0.065,1.300,0.0990,0.130,1.299,0.1175,0.155
21:33:40.944,0.998,0.0630,0.065,0.998,0.0655,0.065,1.300,0.0990,0.130,1.299,0.1170,0.150
21:38:40.944,0.998,0.0625,0.060,0.998,0.0645,0.065,1.301,0.0995,0.130,1.299,0.1170,0.150
21:43:40.944,0.998,0.0620,0.060,0.998,0.0645,0.065,1.300,0.0990,0.130,1.299,0.1170,0.150
21:48:40.944,0.998,0.0625,0.060,0.998,0.0640,0.065,1.300,0.0990,0.130,1.299,0.1170,0.150
21:53:40.944,0.998,0.0620,0.060,0.998,0.0635,0.065,1.300,0.0990,0.130,1.299,0.1160,0.150
21:58:40.944,0.998,0.0615,0.060,0.998,0.0635,0.065,1.300,0.0990,0.130,1.299,0.1160,0.150
22:03:40.944,0.998,0.0610,0.060,0.998,0.0630,0.065,1.300,0.0990,0.130,1.299,0.1160,0.150
22:08:40.944,0.998,0.0610,0.060,0.998,0.0625,0.060,1.300,0.0990,0.130,1.299,0.1150,0.150
22:13:40.944,0.998,0.0615,0.060,0.998,0.0625,0.060,1.300,0.0990,0.130,1.299,0.1150,0.150
22:18:40.944,0.998,0.0610,0.060,0.998,0.0625,0.060,1.300,0.0990,0.130,1.299,0.1150,0.150
22:23:40.944,0.998,0.0605,0.060,0.998,0.0615,0.060,1.300,0.0990,0.130,1.299,0.1140,0.150
22:28:40.944,0.998,0.0600,0.060,0.998,0.0615,0.060,1.300,0.0990,0.130,1.299,0.1140,0.150
22:33:40.944,0.999,0.0605,0.060,0.997,0.0615,0.060,1.300,0.0990,0.130,1.299,0.1140,0.150
22:38:40.944,0.998,0.0595,0.060,0.998,0.0610,0.060,1.300,0.0990,0.130,1.299,0.1130,0.145
22:43:40.944,0.998,0.0595,0.060,0.998,0.0605,0.060,1.300,0.0990,0.130,1.299,0.1130,0.145
22:48:40.944,0.998,0.0595,0.060,0.999,0.0605,0.060,1.300,0.0990,0.130,1.299,0.1130,0.145
22:53:40.944,0.998,0.0590,0.060,0.998,0.0605,0.060,1.300,0.0990,0.130,1.299,0.1120,0.145
22:58:40.944,0.998,0.0590,0.060,0.998,0.0595,0.060,1.300,0.0990,0.130,1.299,0.1120,0.145
23:03:40.944,0.998,0.0585,0.060,0.998,0.0595,0.060,1.300,0.0990,0.130,1.299,0.1120,0.145
23:08:40.944,0.998,0.0580,0.060,0.998,0.0595,0.060,1.300,0.0985,0.130,1.299,0.1110,0.145
23:13:40.944,0.998,0.0585,0.060,0.998,0.0595,0.060,1.300,0.0985,0.130,1.299,0.1110,0.145
23:18:40.944,0.998,0.0585,0.060,0.997,0.0585,0.060,1.300,0.0985,0.130,1.299,0.1100,0.145
23:23:40.944,0.998,0.0580,0.060,0.998,0.0585,0.060,1.300,0.0985,0.130,1.299,0.1100,0.145
23:28:40.944,0.998,0.0570,0.055,0.998,0.0585,0.060,1.300,0.0980,0.125,1.299,0.1100,0.145
23:33:40.944,0.999,0.0580,0.060,0.998,0.0585,0.060,1.300,0.0980,0.125,1.299,0.1095,0.140
23:38:40.944,0.998,0.0575,0.055,0.998,0.0580,0.060,1.300,0.0980,0.125,1.299,0.1090,0.140
23:43:40.944,0.998,0.0570,0.055,0.998,0.0575,0.055,1.300,0.0980,0.125,1.299,0.1090,0.140
23:48:40.944,0.998,0.0570,0.055,0.998,0.0575,0.055,1.300,0.0985,0.130,1.299,0.1090,0.140
23:53:40.944,0.998,0.0570,0.055,0.998,0.0575,0.055,1.300,0.0980,0.125,1.299,0.1085,0.140
23:58:40.944,0.998,0.0570,0.055,0.998,0.0570,0.055,1.300,0.0980,0.125,1.299,0.1080,0.140
00:03:40.944,0.998,0.0565,0.055,0.998,0.0565,0.055,1.300,0.0980,0.125,1.299,0.1080,0.140
00:08:40.944,0.998,0.0555,0.055,0.998,0.0565,0.055,1.300,0.0975,0.125,1.299,0.1080,0.140
00:13:40.944,0.999,0.0570,0.055,0.998,0.0565,0.055,1.300,0.0970,0.125,1.299,0.1070,0.140
00:18:40.944,0.998,0.0560,0.055,0.998,0.0565,0.055,1.300,0.0970,0.125,1.298,0.1070,0.140
00:23:40.944,0.998,0.0560,0.055,0.998,0.0565,0.055,1.300,0.0970,0.125,1.299,0.1070,0.140
00:28:40.944,0.999,0.0560,0.055,0.998,0.0560,0.055,1.300,0.0970,0.125,1.299,0.1060,0.140
00:33:40.944,0.998,0.0555,0.055,0.998,0.0555,0.055,1.300,0.0970,0.125,1.299,0.1060,0.140
00:38:40.944,0.998,0.0560,0.055,0.998,0.0555,0.055,1.300,0.0970,0.125,1.299,0.1060,0.140
00:43:40.944,0.998,0.0550,0.055,0.998,0.0555,0.055,1.300,0.0970,0.125,1.299,0.1060,0.140
00:48:40.944,0.998,0.0555,0.055,0.998,0.0555,0.055,1.300,0.0970,0.125,1.299,0.1050,0.135
00:53:40.944,0.998,0.0555,0.055,0.998,0.0550,0.055,1.300,0.0965,0.125,1.299,0.1050,0.135
00:58:40.944,0.998,0.0550,0.055,0.998,0.0545,0.055,1.300,0.0970,0.125,1.299,0.1050,0.135
01:03:40.944,0.998,0.0550,0.055,0.998,0.0545,0.055,1.300,0.0970,0.125,1.299,0.1050,0.135
01:08:40.944,0.998,0.0545,0.055,0.998,0.0545,0.055,1.300,0.0965,0.125,1.299,0.1040,0.135
01:13:40.944,0.998,0.0545,0.055,0.998,0.0545,0.055,1.301,0.0970,0.125,1.299,0.1040,0.135
01:18:40.944,0.998,0.0545,0.055,0.998,0.0540,0.055,1.300,0.0970,0.125,1.299,0.1040,0.135
01:23:40.944,0.998,0.0545,0.055,0.998,0.0540,0.055,1.300,0.0960,0.125,1.299,0.1040,0.135
01:28:40.944,0.998,0.0545,0.055,0.998,0.0535,0.055,1.300,0.0960,0.125,1.299,0.1030,0.135
01:33:40.944,0.998,0.0545,0.055,0.998,0.0535,0.055,1.300,0.0960,0.125,1.299,0.1030,0.135
01:38:40.944,0.998,0.0540,0.055,0.999,0.0535,0.055,1.300,0.0960,0.125,1.299,0.1030,0.135
01:43:40.944,0.998,0.0540,0.055,0.998,0.0535,0.055,1.300,0.0960,0.125,1.299,0.1030,0.135
01:48:40.944,0.998,0.0545,0.055,0.998,0.0535,0.055,1.300,0.0960,0.125,1.299,0.1025,0.135
01:53:40.944,0.999,0.0540,0.055,0.999,0.0530,0.055,1.300,0.0960,0.125,1.299,0.1020,0.130
01:58:40.944,0.998,0.0535,0.055,0.999,0.0530,0.055,1.300,0.0960,0.125,1.299,0.1020,0.130
02:03:40.944,0.999,0.0540,0.055,0.998,0.0525,0.050,1.300,0.0955,0.125,1.299,0.1015,0.130
02:08:40.944,0.999,0.0540,0.055,0.998,0.0525,0.050,1.300,0.0960,0.125,1.299,0.1010,0.130
02:13:40.944,0.999,0.0535,0.055,0.998,0.0525,0.050,1.300,0.0955,0.125,1.299,0.1010,0.130
02:18:40.944,0.999,0.0540,0.055,0.998,0.0525,0.050,1.300,0.0950,0.125,1.299,0.1010,0.130
02:23:40.944,0.999,0.0535,0.055,0.998,0.0515,0.050,1.300,0.0950,0.125,1.299,0.1010,0.130
02:28:40.944,0.998,0.0530,0.055,0.998,0.0515,0.050,1.300,0.0950,0.125,1.299,0.1005,0.130
02:33:40.944,0.999,0.0535,0.055,0.999,0.0515,0.050,1.300,0.0945,0.125,1.299,0.1000,0.130
02:38:40.944,0.998,0.0525,0.050,0.998,0.0515,0.050,1.300,0.0940,0.120,1.299,0.1000,0.130
02:43:40.944,0.999,0.0530,0.055,0.998,0.0515,0.050,1.300,0.0945,0.125,1.299,0.1000,0.130
02:48:40.944,0.998,0.0525,0.050,0.998,0.0515,0.050,1.300,0.0945,0.125,1.299,0.1000,0.130
02:53:40.944,0.999,0.0525,0.050,0.998,0.0515,0.050,1.300,0.0945,0.125,1.299,0.0990,0.130
02:58:40.944,0.998,0.0520,0.050,0.998,0.0515,0.050,1.300,0.0940,0.120,1.299,0.0990,0.130
03:03:40.944,0.998,0.0525,0.050,0.998,0.0510,0.050,1.300,0.0940,0.120,1.299,0.0990,0.130
03:08:40.944,0.998,0.0520,0.050,0.998,0.0505,0.050,1.301,0.0935,0.120,1.299,0.0985,0.130
03:13:40.944,0.998,0.0525,0.050,0.998,0.0505,0.050,1.300,0.0935,0.120,1.299,0.0980,0.125
03:18:40.944,0.998,0.0520,0.050,0.998,0.0505,0.050,1.300,0.0930,0.120,1.299,0.0980,0.125
03:23:40.944,0.998,0.0525,0.050,0.998,0.0505,0.050,1.300,0.0930,0.120,1.299,0.0980,0.125
03:28:40.944,0.998,0.0515,0.050,0.998,0.0505,0.050,1.300,0.0930,0.120,1.299,0.0980,0.125
03:33:40.944,0.999,0.0525,0.050,0.998,0.0505,0.050,1.300,0.0925,0.120,1.299,0.0980,0.125
03:38:40.944,0.998,0.0520,0.050,0.998,0.0500,0.050,1.300,0.0925,0.120,1.299,0.0980,0.125
03:43:40.944,0.998,0.0520,0.050,0.998,0.0495,0.050,1.300,0.0925,0.120,1.299,0.0975,0.125
03:48:40.944,0.999,0.0520,0.050,0.998,0.0495,0.050,1.300,0.0920,0.120,1.299,0.0970,0.125
03:53:40.944,0.998,0.0515,0.050,0.998,0.0495,0.050,1.300,0.0920,0.120,1.299,0.0970,0.125
03:58:40.944,0.998,0.0510,0.050,0.999,0.0495,0.050,1.300,0.0920,0.120,1.299,0.0970,0.125
04:03:40.944,0.998,0.0515,0.050,0.998,0.0495,0.050,1.300,0.0915,0.120,1.299,0.0960,0.125
04:08:40.944,0.998,0.0515,0.050,0.998,0.0495,0.050,1.300,0.0910,0.120,1.299,0.0965,0.125
04:13:40.944,0.998,0.0510,0.050,0.998,0.0495,0.050,1.300,0.0910,0.120,1.299,0.0960,0.125
04:18:40.944,0.998,0.0515,0.050,0.998,0.0495,0.050,1.300,0.0910,0.120,1.299,0.0960,0.125
04:23:40.944,0.998,0.0515,0.050,0.998,0.0495,0.050,1.300,0.0910,0.120,1.299,0.0960,0.125
04:28:40.944,0.998,0.0510,0.050,0.998,0.0495,0.050,1.301,0.0910,0.120,1.299,0.0960,0.125
04:33:40.944,0.998,0.0515,0.050,0.998,0.0485,0.050,1.300,0.0910,0.120,1.299,0.0950,0.125
04:38:40.944,0.998,0.0505,0.050,0.998,0.0485,0.050,1.300,0.0910,0.120,1.299,0.0950,0.125
04:43:40.944,0.998,0.0505,0.050,0.998,0.0485,0.050,1.300,0.0910,0.120,1.299,0.0950,0.125
04:48:40.944,0.998,0.0510,0.050,0.998,0.0485,0.050,1.300,0.0905,0.120,1.299,0.0950,0.125
04:53:40.944,0.998,0.0510,0.050,0.998,0.0485,0.050,1.300,0.0900,0.115,1.299,0.0950,0.125
04:58:40.944,0.998,0.0510,0.050,0.998,0.0485,0.050,1.300,0.0900,0.115,1.299,0.0940,0.120
05:03:40.944,0.999,0.0515,0.050,0.998,0.0485,0.050,1.300,0.0900,0.115,1.299,0.0940,0.120
05:08:40.944,0.999,0.0510,0.050,0.997,0.0475,0.045,1.300,0.0900,0.115,1.299,0.0945,0.125
05:13:40.944,0.999,0.0510,0.050,0.998,0.0475,0.045,1.300,0.0900,0.115,1.299,0.0940,0.120
05:18:40.944,0.999,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0900,0.115,1.299,0.0940,0.120
05:23:40.944,0.999,0.0510,0.050,0.998,0.0475,0.045,1.300,0.0900,0.115,1.299,0.0940,0.120
05:28:40.944,0.999,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0895,0.115,1.299,0.0940,0.120
05:33:40.944,0.999,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0900,0.115,1.299,0.0935,0.120
05:38:40.944,0.999,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0895,0.115,1.299,0.0935,0.120
05:43:40.944,0.999,0.0500,0.050,0.998,0.0475,0.045,1.300,0.0890,0.115,1.299,0.0935,0.120
05:48:40.944,0.998,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0890,0.115,1.299,0.0935,0.120
05:53:40.944,0.999,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0890,0.115,1.299,0.0935,0.120
05:58:40.944,0.999,0.0510,0.050,0.998,0.0475,0.045,1.300,0.0890,0.115,1.300,0.0935,0.120
06:03:40.944,0.998,0.0505,0.050,0.998,0.0470,0.045,1.300,0.0885,0.115,1.299,0.0935,0.120
06:08:40.944,0.998,0.0505,0.050,0.998,0.0475,0.045,1.300,0.0885,0.115,1.299,0.0935,0.120
06:13:40.944,0.998,0.0500,0.050,0.998,0.0470,0.045,1.300,0.0885,0.115,1.299,0.0925,0.120
06:18:40.944,0.998,0.0500,0.050,0.998,0.0470,0.045,1.300,0.0880,0.115,1.299,0.0925,0.120
06:23:40.944,0.998,0.0500,0.050,0.998,0.0465,0.045,1.300,0.0880,0.115,1.299,0.0925,0.120
06:28:40.944,0.998,0.0500,0.050,0.998,0.0465,0.045,1.300,0.0885,0.115,1.299,0.0925,0.120
06:33:40.944,0.998,0.0495,0.050,0.998,0.0465,0.045,1.300,0.0885,0.115,1.300,0.0925,0.120
06:38:40.944,0.998,0.0490,0.050,0.999,0.0465,0.045,1.300,0.0880,0.115,1.299,0.0920,0.120
06:43:40.944,0.998,0.0495,0.050,0.998,0.0465,0.045,1.300,0.0875,0.115,1.299,0.0915,0.120
06:48:40.944,0.998,0.0500,0.050,0.998,0.0465,0.045,1.300,0.0870,0.115,1.299,0.0920,0.120
06:53:40.944,0.998,0.0500,0.050,0.998,0.0465,0.045,1.300,0.0875,0.115,1.299,0.0920,0.120
06:58:40.944,0.998,0.0495,0.050,0.998,0.0465,0.045,1.300,0.0870,0.115,1.299,0.0915,0.120
07:03:40.944,0.998,0.0495,0.050,0.998,0.0465,0.045,1.300,0.0870,0.115,1.299,0.0915,0.120
07:08:40.944,0.998,0.0490,0.050,0.998,0.0465,0.045,1.301,0.0870,0.115,1.299,0.0915,0.120
07:13:40.944,0.998,0.0495,0.050,0.998,0.0465,0.045,1.300,0.0865,0.110,1.299,0.0910,0.120
07:18:40.944,0.998,0.0495,0.050,0.998,0.0465,0.045,1.300,0.0865,0.110,1.299,0.0905,0.120
07:23:40.944,0.998,0.0490,0.050,0.998,0.0455,0.045,1.300,0.0865,0.110,1.299,0.0905,0.120
07:28:40.944,0.998,0.0495,0.050,0.997,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0905,0.120
07:33:40.944,0.998,0.0495,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0905,0.120
07:38:40.944,0.998,0.0490,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0905,0.120
07:43:40.944,0.998,0.0495,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0905,0.120
07:48:40.944,0.998,0.0500,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0900,0.115
07:53:40.944,0.998,0.0495,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0895,0.115
07:58:40.944,0.998,0.0490,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0895,0.115
08:03:40.944,0.998,0.0495,0.050,0.998,0.0455,0.045,1.300,0.0860,0.110,1.299,0.0895,0.115
08:08:40.944,0.998,0.0495,0.050,0.997,0.0450,0.045,1.300,0.0855,0.110,1.299,0.0895,0.115
08:13:40.944,0.998,0.0490,0.050,0.997,0.0450,0.045,1.300,0.0850,0.110,1.299,0.0895,0.115
08:18:40.944,0.998,0.0495,0.050,0.997,0.0445,0.045,1.300,0.0850,0.110,1.299,0.0895,0.115
08:23:40.944,0.998,0.0485,0.050,0.998,0.0445,0.045,1.300,0.0855,0.110,1.299,0.0890,0.115
08:28:40.944,0.998,0.0490,0.050,0.997,0.0445,0.045,1.300,0.0850,0.110,1.299,0.0885,0.115
08:33:40.944,0.998,0.0490,0.050,0.998,0.0445,0.045,1.300,0.0850,0.110,1.299,0.0890,0.115
08:38:40.944,0.998,0.0485,0.050,0.998,0.0445,0.045,1.300,0.0850,0.110,1.299,0.0885,0.115
08:43:40.944,0.998,0.0490,0.050,0.998,0.0445,0.045,1.300,0.0850,0.110,1.299,0.0885,0.115
08:48:40.944,0.998,0.0490,0.050,0.998,0.0445,0.045,1.301,0.0850,0.110,1.299,0.0885,0.115
08:53:40.944,0.998,0.0485,0.050,0.997,0.0445,0.045,1.300,0.0840,0.110,1.299,0.0885,0.115
08:58:40.944,0.998,0.0485,0.050,0.997,0.0445,0.045,1.300,0.0845,0.110,1.299,0.0885,0.115
09:03:40.944,0.999,0.0490,0.050,0.998,0.0445,0.045,1.300,0.0845,0.110,1.299,0.0880,0.115
09:08:40.944,0.999,0.0490,0.050,0.998,0.0445,0.045,1.300,0.0840,0.110,1.300,0.0875,0.115
09:13:40.944,0.999,0.0490,0.050,0.998,0.0445,0.045,1.300,0.0840,0.110,1.299,0.0875,0.115
09:18:40.944,0.998,0.0485,0.050,0.998,0.0445,0.045,1.300,0.0840,0.110,1.299,0.0875,0.115
09:23:40.944,0.998,0.0490,0.050,0.998,0.0445,0.045,1.300,0.0840,0.110,1.299,0.0875,0.115
09:28:40.944,0.999,0.0490,0.050,0.998,0.0435,0.045,1.300,0.0835,0.110,1.300,0.0875,0.115
09:33:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0840,0.110,1.299,0.0870,0.115
09:38:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0835,0.110,1.299,0.0865,0.110
09:43:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0835,0.110,1.299,0.0865,0.110
09:48:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0835,0.110,1.299,0.0870,0.115
09:53:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0835,0.110,1.299,0.0865,0.110
09:58:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0830,0.110,1.299,0.0865,0.110
10:03:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0830,0.110,1.299,0.0865,0.110
10:08:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0825,0.105,1.299,0.0865,0.110
10:13:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0825,0.105,1.299,0.0865,0.110
10:18:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0830,0.110,1.299,0.0860,0.110
10:23:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0830,0.110,1.299,0.0860,0.110
10:28:40.944,0.998,0.0485,0.050,0.997,0.0435,0.045,1.300,0.0820,0.105,1.299,0.0860,0.110
10:33:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0825,0.105,1.299,0.0855,0.110
10:38:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0825,0.105,1.299,0.0855,0.110
10:43:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0825,0.105,1.299,0.0855,0.110
10:48:40.944,0.998,0.0485,0.050,0.997,0.0435,0.045,1.300,0.0820,0.105,1.299,0.0855,0.110
10:53:40.944,0.997,0.0475,0.045,0.998,0.0435,0.045,1.300,0.0820,0.105,1.299,0.0855,0.110
10:58:40.944,0.998,0.0490,0.050,0.998,0.0435,0.045,1.300,0.0820,0.105,1.299,0.0855,0.110
11:03:40.944,0.998,0.0480,0.050,0.998,0.0435,0.045,1.300,0.0820,0.105,1.299,0.0855,0.110
11:08:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0825,0.105,1.299,0.0850,0.110
11:13:40.944,0.998,0.0485,0.050,0.998,0.0435,0.045,1.300,0.0820,0.105,1.299,0.0845,0.110
11:18:40.944,0.998,0.0480,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0845,0.110
11:23:40.944,0.998,0.0485,0.050,0.998,0.0430,0.045,1.300,0.0820,0.105,1.299,0.0845,0.110
11:28:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0845,0.110
11:33:40.944,0.998,0.0490,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0845,0.110
11:38:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0845,0.110
11:43:40.944,0.998,0.0490,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0845,0.110
11:48:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0835,0.110
11:53:40.944,0.998,0.0490,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0840,0.110
11:58:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0835,0.110
12:03:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0835,0.110
12:08:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0835,0.110
12:13:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0815,0.105,1.299,0.0835,0.110
12:18:40.944,0.998,0.0490,0.050,0.998,0.0425,0.040,1.300,0.0820,0.105,1.299,0.0835,0.110
12:23:40.944,0.998,0.0485,0.050,0.998,0.0425,0.040,1.300,0.0815,0.105,1.299,0.0830,0.110
12:28:40.944,0.998,0.0480,0.050,0.998,0.0425,0.040,1.300,0.0815,0.105,1.299,0.0835,0.110
